,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,DATA_SOURCE,Unnamed: 50
81730,6.0,7.0,242200.0,1001.0,894.0,0.0,0.0,1101.0,1235.0,1117.0,WN,19393.0,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3.0,12391,1239102,31703,ISP,"Islip, NY",NY,36.0,New York,US,United States,22,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,US,United States,33,6,612,1,2015,2,4,3,F,DU,
126005,46.0,40.0,795440.0,3039.0,2516.0,0.0,0.0,1008.0,6897.0,5954.0,CP,21167.0,Compass Airlines,01131,D,CP,Compass Airlines,2,2.0,11618,1161802,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,US,United States,21,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,US,United States,63,6,673,1,2015,2,4,3,F,DU,
53991,1.0,1.0,10000.0,50.0,0.0,0.0,0.0,346.0,119.0,75.0,EV,20366.0,ExpressJet Airlines Inc.,06085,D,EV,ExpressJet Airlines Inc.,3,3.0,11433,1143302,31295,DTW,"Detroit, MI",MI,26.0,Michigan,US,United States,43,14108,1410803,34108,PIA,"Peoria, IL",IL,17.0,Illinois,US,United States,41,6,675,1,2015,1,2,1,F,DU,
99727,20.0,20.0,407360.0,1520.0,1352.0,0.0,0.0,368.0,1729.0,1178.0,OO,20304.0,SkyWest Airlines Inc.,06700,D,OO,SkyWest Airlines Inc.,3,3.0,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,US,United States,87,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,US,United States,85,6,638,1,2015,1,2,1,F,DU,
51737,1.0,1.0,25500.0,99.0,99.0,0.0,0.0,939.0,161.0,131.0,US,20355.0,US Airways Inc.,12041,L,US,US Airways Inc.,3,3.0,11731,1173103,31731,FPO,"Freeport, The Bahamas",,,,BS,The Bahamas,204,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,US,United States,23,6,678,1,2015,1,1,2,F,IU,
24048,0.0,1.0,20334.0,54.0,39.0,0.0,0.0,449.0,97.0,67.0,DL,19790.0,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3.0,11057,1105703,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,US,United States,36,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,US,United States,23,6,698,1,2015,1,3,1,L,DU,
140359,91.0,76.0,657400.0,2799.0,2082.0,1.0,0.0,157.0,6188.0,4825.0,PT,20427.0,Piedmont Airlines,06918,D,17,Piedmont Airlines,1,6.0,12244,1224402,32244,HVN,"New Haven, CT",CT,9.0,Connecticut,US,United States,11,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,US,United States,23,4,483,1,2015,1,1,1,F,DU,
2787,0.0,1.0,20881.0,0.0,0.0,7617.0,0.0,267.0,50.0,40.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10819,1081902,30819,BWG,"Bowling Green, KY",KY,21.0,Kentucky,US,United States,52,15153,1515302,35153,TCL,"Tuscaloosa, AL",AL,1.0,Alabama,US,United States,51,6,635,2,2015,1,1,1,P,DU,
51158,1.0,1.0,13500.0,50.0,28.0,0.0,0.0,409.0,88.0,67.0,OO,20304.0,SkyWest Airlines Inc.,06700,D,OO,SkyWest Airlines Inc.,3,3.0,10821,1082103,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,US,United States,35,11433,1143302,31295,DTW,"Detroit, MI",MI,26.0,Michigan,US,United States,43,6,629,1,2015,1,1,1,F,DU,
76081,4.0,5.0,62500.0,250.0,204.0,0.0,0.0,220.0,349.0,188.0,9E,20363.0,Endeavor Air Inc.,07024,D,9E,Endeavor Air Inc.,2,2.0,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,US,United States,63,11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA",IA,19.0,Iowa,US,United States,61,6,629,1,2015,2,4,1,F,DU,
